{{dist=-1, rng=-1}
{dist=319.19685368925, rng=4531}
{dist=319.19685368925, rng=5977}
{dist=319.19685368925, rng=6137}
{dist=319.19685368925, rng=6587}
{dist=319.19685368925, rng=1823}
{dist=319.19685368925, rng=7252}
{dist=319.19685368925, rng=1763}
{dist=319.19685368925, rng=1903}
{dist=319.19685368925, rng=6703}
{dist=319.19685368925, rng=7127}
{dist=319.19685368925, rng=7021}
{dist=319.19685368925, rng=5979}
{dist=319.19685368925, rng=657}
{dist=319.19685368925, rng=6454}
{dist=319.19685368925, rng=2356}
{dist=319.19685368925, rng=6260}
{dist=319.19685368925, rng=6198}
{dist=319.19685368925, rng=7260}
{dist=319.19685368925, rng=1625}
{dist=319.19685368925, rng=2167}
{dist=319.19685368925, rng=6375}
{dist=319.19685368925, rng=7364}
{dist=319.19685368925, rng=4444}
{dist=319.19685368925, rng=8125}
{dist=319.19685368925, rng=1067}
{dist=319.19685368925, rng=1098}
{dist=319.19685368925, rng=904}
{dist=319.19685368925, rng=2764}
{dist=319.19685368925, rng=3974}
{dist=319.19685368925, rng=935}
{dist=319.19685368925, rng=3067}
{dist=319.19685368925, rng=9124}
{dist=319.19685368925, rng=70}
{dist=319.19685368925, rng=1030}
{dist=319.19685368925, rng=9469}
{dist=319.19685368925, rng=2762}
{dist=319.19685368925, rng=9678}
{dist=319.19685368925, rng=9672}
{dist=319.19685368925, rng=2635}
{dist=319.19685368925, rng=3398}
{dist=319.19685368925, rng=9235}
{dist=319.19685368925, rng=9282}
{dist=319.19685368925, rng=880}
{dist=319.19685368925, rng=58}
{dist=319.19685368925, rng=3717}
{dist=319.19685368925, rng=3250}
{dist=361.76001710672, rng=31291}
{dist=361.76001710672, rng=7399}
{dist=361.76001710672, rng=22302}
{dist=361.76001710672, rng=25375}
{dist=361.76001710672, rng=3354}
{dist=361.76001710672, rng=28986}
{dist=361.76001710672, rng=25499}
{dist=379.86673457859, rng=30531}
{dist=381.43494836153, rng=7772}
{dist=398.72329875583, rng=1647}
{dist=398.72329875583, rng=10053}
{dist=398.72329875583, rng=18907}
{dist=425.2483114403, rng=25218}
{dist=425.2483114403, rng=20025}
{dist=445.43142841136, rng=2773}
{dist=490.69910208188, rng=17833}
{dist=490.69910208188, rng=22560}
{dist=490.69910208188, rng=27756}
{dist=490.69910208188, rng=7220}
{dist=515.62820202382, rng=3580}
{dist=515.62820202382, rng=13881}
{dist=515.62820202382, rng=132}
{dist=515.62820202382, rng=2369}
{dist=551.65868946163, rng=17220}
{dist=551.65868946163, rng=3755}
{dist=551.65868946163, rng=13268}
{dist=551.65868946163, rng=30688}
{dist=551.65868946163, rng=29604}
{dist=551.65868946163, rng=24010}
{dist=551.65868946163, rng=6462}
{dist=551.65868946163, rng=15003}
{dist=551.65868946163, rng=13131}
{dist=551.65868946163, rng=23042}
{dist=551.65868946163, rng=21255}
{dist=551.65868946163, rng=7041}
{dist=551.65868946163, rng=14392}
{dist=551.65868946163, rng=11129}
{dist=551.65868946163, rng=5504}
{dist=551.65868946163, rng=31702}
{dist=551.65868946163, rng=16074}
{dist=551.65868946163, rng=13601}
{dist=551.65868946163, rng=13832}
{dist=551.65868946163, rng=24877}
{dist=551.65868946163, rng=11471}
{dist=551.65868946163, rng=23623}
{dist=551.65868946163, rng=1946}
{dist=558.11975523139, rng=23023}
{dist=558.11975523139, rng=20401}
{dist=558.11975523139, rng=17441}
{dist=558.11975523139, rng=20267}
{dist=558.11975523139, rng=18472}
{dist=558.11975523139, rng=21799}
{dist=558.11975523139, rng=18669}
{dist=558.11975523139, rng=16793}
{dist=558.11975523139, rng=26823}
{dist=558.11975523139, rng=24107}
{dist=558.11975523139, rng=19591}
{dist=558.11975523139, rng=17498}
{dist=558.11975523139, rng=3836}
{dist=558.11975523139, rng=20261}
{dist=558.11975523139, rng=29537}
{dist=558.11975523139, rng=28868}
{dist=558.11975523139, rng=10392}
{dist=558.11975523139, rng=13356}
{dist=558.11975523139, rng=27757}
{dist=558.11975523139, rng=28338}
{dist=558.11975523139, rng=11189}
{dist=558.11975523139, rng=1606}
{dist=558.11975523139, rng=13793}
{dist=558.11975523139, rng=28307}
{dist=558.11975523139, rng=9647}
{dist=558.11975523139, rng=13087}
{dist=558.11975523139, rng=31126}
{dist=558.11975523139, rng=8839}
{dist=558.11975523139, rng=10612}
{dist=558.11975523139, rng=29411}
{dist=558.11975523139, rng=32471}
{dist=558.11975523139, rng=758}
{dist=558.11975523139, rng=15714}
{dist=643.20504078269, rng=31426}
{dist=659.59585233239, rng=16170}
{dist=659.59585233239, rng=27424}
{dist=708.08597751478, rng=30683}
{dist=708.08597751478, rng=10919}
{dist=708.08597751478, rng=25973}
{dist=708.08597751478, rng=19827}
{dist=319.19685368925, rng=49575}
{dist=319.19685368925, rng=49279}
{dist=319.19685368925, rng=65446}
{dist=319.19685368925, rng=48845}
{dist=319.19685368925, rng=49712}
{dist=319.19685368925, rng=49875}
{dist=319.19685368925, rng=49809}
{dist=319.19685368925, rng=49937}
{dist=319.19685368925, rng=50122}
{dist=319.19685368925, rng=48776}
{dist=319.19685368925, rng=48468}
{dist=319.19685368925, rng=48118}
{dist=319.19685368925, rng=48116}
{dist=319.19685368925, rng=48738}
{dist=319.19685368925, rng=48130}
{dist=319.19685368925, rng=48414}
{dist=319.19685368925, rng=48255}
{dist=319.19685368925, rng=48463}
{dist=319.19685368925, rng=48059}
{dist=319.19685368925, rng=50163}
{dist=319.19685368925, rng=50458}
{dist=319.19685368925, rng=52584}
{dist=319.19685368925, rng=52364}
{dist=319.19685368925, rng=52251}
{dist=319.19685368925, rng=52737}
{dist=319.19685368925, rng=53086}
{dist=319.19685368925, rng=52744}
{dist=319.19685368925, rng=53273}
{dist=319.19685368925, rng=50457}
{dist=319.19685368925, rng=52219}
{dist=319.19685368925, rng=51612}
{dist=319.19685368925, rng=50732}
{dist=319.19685368925, rng=50692}
{dist=319.19685368925, rng=51714}
{dist=319.19685368925, rng=50899}
{dist=319.19685368925, rng=51104}
{dist=319.19685368925, rng=51015}
{dist=319.19685368925, rng=51514}
{dist=319.19685368925, rng=53544}
{dist=319.19685368925, rng=47876}
{dist=319.19685368925, rng=47694}
{dist=319.19685368925, rng=43799}
{dist=319.19685368925, rng=43425}
{dist=319.19685368925, rng=42998}
{dist=319.19685368925, rng=43952}
{dist=319.19685368925, rng=44261}
{dist=319.19685368925, rng=44157}
{dist=319.19685368925, rng=44265}
{dist=319.19685368925, rng=44304}
{dist=319.19685368925, rng=42859}
{dist=319.19685368925, rng=42712}
{dist=319.19685368925, rng=42197}
{dist=319.19685368925, rng=41643}
{dist=319.19685368925, rng=42828}
{dist=319.19685368925, rng=42215}
{dist=319.19685368925, rng=42538}
{dist=319.19685368925, rng=42390}
{dist=319.19685368925, rng=42571}
{dist=319.19685368925, rng=47720}
{dist=319.19685368925, rng=44511}
{dist=319.19685368925, rng=44627}
{dist=319.19685368925, rng=47321}
{dist=319.19685368925, rng=47298}
{dist=319.19685368925, rng=47154}
{dist=319.19685368925, rng=47402}
{dist=319.19685368925, rng=47513}
{dist=319.19685368925, rng=47419}
{dist=319.19685368925, rng=47596}
{dist=319.19685368925, rng=44520}
{dist=319.19685368925, rng=46628}
{dist=319.19685368925, rng=46158}
{dist=319.19685368925, rng=45074}
{dist=319.19685368925, rng=44943}
{dist=319.19685368925, rng=46407}
{dist=319.19685368925, rng=45548}
{dist=319.19685368925, rng=45920}
{dist=319.19685368925, rng=45641}
{dist=319.19685368925, rng=45921}
{dist=319.19685368925, rng=41625}
{dist=319.19685368925, rng=53553}
{dist=319.19685368925, rng=53968}
{dist=319.19685368925, rng=61550}
{dist=319.19685368925, rng=61454}
{dist=319.19685368925, rng=61415}
{dist=319.19685368925, rng=61651}
{dist=319.19685368925, rng=61738}
{dist=319.19685368925, rng=61687}
{dist=319.19685368925, rng=61790}
{dist=319.19685368925, rng=62069}
{dist=319.19685368925, rng=61393}
{dist=319.19685368925, rng=60702}
{dist=319.19685368925, rng=59977}
{dist=319.19685368925, rng=59805}
{dist=319.19685368925, rng=61014}
{dist=319.19685368925, rng=60321}
{dist=319.19685368925, rng=60580}
{dist=319.19685368925, rng=60349}
{dist=319.19685368925, rng=60667}
{dist=319.19685368925, rng=59789}
{dist=319.19685368925, rng=62074}
{dist=319.19685368925, rng=62446}
{dist=319.19685368925, rng=64309}
{dist=319.19685368925, rng=64308}
{dist=319.19685368925, rng=64192}
{dist=319.19685368925, rng=64341}
{dist=319.19685368925, rng=64886}
{dist=319.19685368925, rng=64485}
{dist=319.19685368925, rng=64910}
{dist=319.19685368925, rng=62142}
{dist=319.19685368925, rng=64026}
{dist=319.19685368925, rng=63642}
{dist=319.19685368925, rng=62744}
{dist=319.19685368925, rng=62676}
{dist=319.19685368925, rng=63669}
{dist=319.19685368925, rng=63021}
{dist=319.19685368925, rng=63416}
{dist=319.19685368925, rng=63366}
{dist=319.19685368925, rng=63549}
{dist=319.19685368925, rng=53791}
{dist=319.19685368925, rng=59532}
{dist=319.19685368925, rng=59077}
{dist=319.19685368925, rng=55862}
{dist=319.19685368925, rng=55533}
{dist=319.19685368925, rng=55519}
{dist=319.19685368925, rng=55986}
{dist=319.19685368925, rng=56022}
{dist=319.19685368925, rng=55990}
{dist=319.19685368925, rng=56130}
{dist=319.19685368925, rng=56181}
{dist=319.19685368925, rng=55350}
{dist=319.19685368925, rng=55125}
{dist=319.19685368925, rng=54673}
{dist=319.19685368925, rng=54389}
{dist=319.19685368925, rng=55280}
{dist=319.19685368925, rng=54777}
{dist=319.19685368925, rng=54874}
{dist=319.19685368925, rng=54848}
{dist=319.19685368925, rng=54946}
{dist=319.19685368925, rng=59223}
{dist=319.19685368925, rng=56279}
{dist=319.19685368925, rng=56564}
{dist=319.19685368925, rng=57743}
{dist=319.19685368925, rng=57641}
{dist=319.19685368925, rng=57618}
{dist=319.19685368925, rng=58227}
{dist=319.19685368925, rng=58577}
{dist=319.19685368925, rng=58310}
{dist=319.19685368925, rng=58794}
{dist=319.19685368925, rng=56428}
{dist=319.19685368925, rng=57575}
{dist=319.19685368925, rng=57375}
{dist=319.19685368925, rng=56650}
{dist=319.19685368925, rng=56603}
{dist=319.19685368925, rng=57450}
{dist=319.19685368925, rng=57205}
{dist=319.19685368925, rng=57296}
{dist=319.19685368925, rng=57207}
{dist=319.19685368925, rng=57314}
{dist=319.19685368925, rng=41605}
{dist=319.19685368925, rng=65489}
{dist=319.19685368925, rng=37158}
{dist=319.19685368925, rng=40170}
{dist=319.19685368925, rng=35456}
{dist=319.19685368925, rng=35504}
{dist=319.19685368925, rng=33183}
{dist=319.19685368925, rng=33259}
{dist=319.19685368925, rng=37854}
{dist=319.19685368925, rng=33270}
{dist=319.19685368925, rng=40058}
{dist=319.19685368925, rng=40033}
{dist=319.19685368925, rng=38724}
{dist=319.19685368925, rng=36637}
{dist=319.19685368925, rng=35573}
{dist=319.19685368925, rng=36626}
{dist=319.19685368925, rng=39268}
{dist=319.19685368925, rng=40255}
{dist=319.19685368925, rng=33163}
{dist=319.19685368925, rng=39245}
{dist=319.19685368925, rng=40215}
{dist=319.19685368925, rng=33104}
{dist=319.19685368925, rng=34981}
{dist=319.19685368925, rng=40031}
{dist=319.19685368925, rng=39931}
{dist=319.19685368925, rng=37528}
{dist=319.19685368925, rng=39963}
{dist=319.19685368925, rng=34118}
{dist=319.19685368925, rng=37865}
{dist=319.19685368925, rng=39884}
{dist=319.19685368925, rng=39885}
{dist=319.19685368925, rng=38755}
{dist=319.19685368925, rng=37879}
{dist=319.19685368925, rng=34953}
{dist=319.19685368925, rng=38554}
{dist=319.19685368925, rng=38542}
{dist=319.19685368925, rng=40018}
{dist=319.19685368925, rng=38639}
{dist=319.19685368925, rng=33709}
{dist=319.19685368925, rng=33522}
{dist=319.19685368925, rng=34866}
{dist=319.19685368925, rng=38543}
{dist=319.19685368925, rng=40311}
{dist=319.19685368925, rng=35536}
{dist=319.19685368925, rng=33500}
{dist=319.19685368925, rng=41201}
{dist=319.19685368925, rng=38191}
{dist=319.19685368925, rng=39031}
{dist=319.19685368925, rng=37655}
{dist=319.19685368925, rng=35621}
{dist=319.19685368925, rng=34258}
{dist=319.19685368925, rng=33918}
{dist=319.19685368925, rng=34507}
{dist=319.19685368925, rng=35581}
{dist=319.19685368925, rng=32787}
{dist=319.19685368925, rng=35705}
{dist=319.19685368925, rng=33865}
{dist=319.19685368925, rng=40697}
{dist=319.19685368925, rng=38100}
{dist=319.19685368925, rng=41329}
{dist=319.19685368925, rng=32937}
{dist=319.19685368925, rng=34523}
{dist=319.19685368925, rng=35653}
